name,cold_weather_bonus,opponent_def_strength,pro_bowlers,consensus_rank_score,qb_stats_score,games_played_penalty,comeback_bonus,winning_situation_count,rushing_score,clutchness_score,leadership_score,situational_scaled,help_penalty,final_score,rank
Josh Allen,10,8,2,9,23,0,6,15,9,9,10,39.6,5.0,100.0,1
Lamar Jackson,6,7,2,9,23,0,5,13,9,8,9,38.0,5.0,93.0,2
Patrick Mahomes,5,9,3,10,24,0,4,12,6,8,9,40.0,7.5,92.0,3
Joe Burrow,8,8,2,9,22,0,2,8,4,7,8,39.2,5.0,86.0,4
Jalen Hurts,2,6,4,8,22,0,4,14,7,8,8,38.4,10.0,82.0,5
CJ Stroud,4,6,2,8,21,0,4,10,6,7,7,37.2,5.0,82.0,5
Trevor Lawrence,5,6,2,7,20,0,3,9,5,6,7,37.6,5.0,79.0,7
Justin Herbert,4,7,3,8,21,0,3,10,3,6,7,38.8,7.5,78.0,8
Dak Prescott,3,6,2,7,20,0,3,12,3,7,7,36.8,5.0,78.0,8
Brock Purdy,3,5,2,8,19,0,3,11,3,7,8,32.8,5.0,74.0,10
Tua Tagovailoa,2,5,2,7,19,0,2,10,5,6,6,36.4,5.0,73.0,11
Jordan Love,7,5,2,7,18,0,2,8,5,5,5,36.0,5.0,72.0,12
Deshaun Watson,5,6,2,7,18,0,2,7,4,6,6,34.0,5.0,71.0,13
Kyler Murray,4,5,1,6,17,0,1,6,6,6,6,32.0,2.5,68.0,15
Geno Smith,5,5,2,6,18,0,2,9,3,6,6,32.4,5.0,68.0,15
Justin Fields,7,5,2,6,17,0,2,7,8,7,7,28.0,5.0,68.0,15
Russell Wilson,6,5,2,6,17,0,2,6,4,6,6,30.0,5.0,65.0,17
Bryce Young,3,4,1,5,14,0,1,6,6,5,5,34.8,2.5,65.0,17
Daniel Jones,6,5,1,5,15,0,1,4,5,5,5,31.6,2.5,63.0,19
Baker Mayfield,3,5,2,5,16,0,2,8,4,6,6,31.2,5.0,63.0,19
Aidan O'Connell,5,4,1,5,15,0,1,5,3,5,5,28.4,2.5,59.0,21
Derek Carr,5,4,2,5,16,0,1,7,2,5,5,30.4,5.0,59.0,21
Caleb Williams,5,4,1,6,15,-15,1,5,7,6,6,35.2,2.5,55.0,23
Anthony Richardson,6,5,1,6,16,-15,0,4,8,5,4,35.6,2.5,54.0,24
Kirk Cousins,6,6,3,7,17,-15,1,6,2,6,6,33.6,7.5,50.0,25
Jayden Daniels,4,4,1,5,15,-15,0,5,7,5,5,33.2,2.5,49.0,26
Aaron Rodgers,8,8,2,8,20,-25,0,3,2,7,7,34.4,5.0,48.0,27
Will Levis,5,4,1,5,15,-15,1,5,5,5,5,30.8,2.5,47.0,28
Drake Maye,4,4,1,5,15,-15,0,5,6,5,5,29.6,2.5,45.0,29
Sam Darnold,5,5,1,5,16,-15,1,6,4,5,5,27.6,2.5,45.0,29
Bo Nix,4,4,1,5,14,-15,0,4,5,5,4,29.2,2.5,42.0,31
JJ McCarthy,4,4,1,5,14,-15,0,4,4,4,4,28.8,2.5,40.0,32
